key	英文原文	当前中文	修改列(填这里覆盖)	备注
Career.Validation.FuelGrainNotAvailable	{0} fuel grain is not available yet.	{0} 燃料药柱尚不可用。		
Career.Validation.FuelLineNotAvailable	Adding fuel lines to parts is not available yet.	尚不可为零件添加燃料管线。		
Career.Validation.FuelTypeNotAvailable	{0} fuel type is not available yet.	{0} 燃料类型尚不可用。		
Career.Validation.FuselageAsymPinch	The pinch has to be the same on both ends of the fuselage.	机身两端的收缩量必须一致。		
Career.Validation.FuselageTooMuchDeadWeight	The fuselage dedicates too much of its volume to dead weight.	机身用于配重的体积过多。		
Career.Validation.FuselageTooSlanted	The fuselage is too slanted.	机身倾斜过度。		
Career.Validation.GearForwardOffsetOutOfRange	The landing gear forward offset is out of range.	起落架前向偏移超出范围。		
Career.Validation.GearHeightOffsetOutOfRange	The landing gear height offset is out of range.	起落架高度偏移超出范围。		
Career.Validation.GearSideOffsetOutOfRange	The landing gear side offset is out of range.	起落架侧向偏移超出范围。		
Career.Validation.GimbalRangeOutOfRange	The gimbal range has been tinkered to be out of range.	矢量摆动范围已被调整到超出范围。		
Career.Validation.HeatshieldTooMuch	You can't use as much heatshielding treatment yet.	你暂时无法使用这么多隔热层。		
Career.Validation.HybridJetEngineNotAvailable	Hybrid jet engine is not available yet.	混合喷气发动机尚不可用。		
Career.Validation.InsufficientFunds	This craft costs {0} to launch from {1}, but your company has only {2} available. While in debt, milestones and exploration aren't evaluated, so you won't earn their prizes.	此载具从 {1} 发射需花费 {0}，但你的公司只有 {2}。处于负债状态时，里程碑与探索将不予评定，因此无法获得其奖励。		
Career.Validation.InsufficientPayloads	This craft has {0} payload(s) of this type, but only {1} payload(s) are available from active contracts.	此载具有 {0} 个此类载荷，但进行中的合约仅提供 {1} 个。		
Career.Validation.InvalidParts	The craft contains invalid parts for this level.	载具包含此等级不允许的零件。		
Career.Validation.InvalidPartsKey	Invalid Parts	无效零件		
Career.Validation.JetEngineAfterburnerNotAvailable	Jet engine afterburner is not available yet.	喷气发动机加力燃烧室尚不可用。		
Career.Validation.JetEngineBypassRatioTooHigh	Jet engine bypass ratio is too high.	喷气发动机涵道比过高。		
Career.Validation.JetEngineCompressionRatioTooHigh	Jet engine compression ratio is too high.	喷气发动机压缩比过高。		
Career.Validation.JetEngineReverseThrustNotAvailable	Jet engine reverse thrust is not available yet.	喷气发动机反推尚不可用。		
Career.Validation.MassScaleModified	This part has had its mass scale modified, use a non-tinkered part.	此零件的质量系数已被修改，请使用未经调整的零件。		
Career.Validation.MissingPart	The craft is missing a required part.	载具缺少必需的零件。		
Career.Validation.MissingPartKey	Missing Part	缺少零件		
Career.Validation.MissingPartsKey	Missing Parts	缺少多个零件		
Career.Validation.ModifierNewerVersion	The {0} modifier has a newer version, you may miss some features or fixes by keeping it.	{0} 修改器有更新的版本，继续使用可能会缺少部分功能或修复。		
Career.Validation.ModifierOutdated	The {0} modifier is outdated, you need to replace it with a new one.	{0} 修改器已过时，需要替换为新的修改器。		
Career.Validation.MotorBrakeTorqueTooHigh	There's too much brake torque in the motor.	电机的制动扭矩过大。		
Career.Validation.MotorPowerTinkered	This part has been tinkered, its power usage is not the stock one.	此零件经过调整，其耗电量并非标准值。		
Career.Validation.MotorRpmTooHigh	The motor RPMs are too high.	电机转速过高。		
Career.Validation.MotorTorqueTooHigh	There's too much torque in the motor.	电机的扭矩过大。		
Career.Validation.NightVisionNotAvailable	Night vision is not available yet.	夜视功能尚不可用。		
Career.Validation.NozzleExtensionOutOfRange	The nozzle extension has been tinkered to be out of range.	喷管延伸段已被调整到超出范围。		
Career.Validation.NozzleTypeNotAvailable	{0} nozzle is not available yet.	{0} 喷管尚不可用。		
Career.Validation.PartDisconnected	The part '{0}' is not connected to the craft.	零件「{0}」未连接到载具。		
Career.Validation.PartStyleNotAvailable	Part style '{0}' is not available yet.	零件样式「{0}」尚不可用。		
Career.Validation.PartTooLarge	The part is too large.	零件过大。		
Career.Validation.PartTypeNotAvailable	The part '{0}' is not available yet.	零件「{0}」尚不可用。		
Career.Validation.PriceScaleModified	This part has had its price scale modified, use a non-tinkered part.	此零件的价格系数已被修改，请使用未经调整的零件。		
Career.Validation.ProgramInvalidBroadcastPower	The program doesn't have a valid broadcast power consumption.	程序没有有效的广播耗电量。		
Career.Validation.ProgramInvalidCallStackLimit	The program doesn't have a valid call stack size limit.	程序没有有效的调用栈大小上限。		
Career.Validation.ProgramInvalidInstructionLimit	The program doesn't have a valid instruction per frame limit.	程序没有有效的每帧指令数上限。		
Career.Validation.ProgramInvalidInstructionPower	The program doesn't have a valid instruction power consumption.	程序没有有效的指令耗电量。		
Career.Validation.ProgramInvalidThreadLimit	The program doesn't have a valid thread limit.	程序没有有效的线程数上限。		
Career.Validation.PropPitchNotAvailable	Variable pitch propeller blades are not available.	可变距螺旋桨叶片不可用。		
Career.Validation.PropTooManyBlades	There are too many blades in the propeller.	螺旋桨叶片过多。		
Career.Validation.SolarPanelTooManyColumns	There are too many columns of panels.	太阳能板列数过多。		
Career.Validation.SolarPanelTooManyRows	There are too many rows of panels.	太阳能板行数过多。		
Career.Validation.SolarPanelTooStretched	The panels are stretched too much.	太阳能板拉伸过度。		
Career.Validation.ThroatSizeOutOfRange	The throat size has been tinkered to be out of range.	喉部尺寸已被调整到超出范围。		
Career.Validation.TinkerSizeModified	This part has had its tinker size modified, use a non-tinkered part.	此零件的调整尺寸已被修改，请使用未经调整的零件。		
Career.Validation.TooManyActiveCrafts	Can't launch: there are {0} active craft(s) and your Tech Tree allows only {1}. Use the Resume Flight dialog in the main menu to remove active crafts from flight.	无法发射：当前有 {0} 个活动载具，而你的科技树仅允许 {1} 个。请使用主菜单中的「继续飞行」对话框将活动载具移出飞行状态。		
Career.Validation.WheelBrakeTorqueTooHigh	There's too much brake torque in the wheel.	车轮的制动扭矩过大。		
Career.Validation.WheelSuspensionNotAvailable	Integrated suspensions are not available yet.	集成悬挂尚不可用。		
Career.Validation.WheelTorqueTooHigh	There's too much torque in the wheel.	车轮的扭矩过大。		
Career.Validation.WingRootTooLarge	The root of the {0} is too large.	{0} 的翼根过大。		
Career.Validation.WingTipTooLarge	The tip of the {0} is too large.	{0} 的翼尖过大。		
Career.Validation.WingTooLong	The {0} is too long.	{0} 过长。		
Career.Validation.WingTooManyControlSurfaces	The {0} has too many control surfaces.	{0} 的操纵面过多。		
Career.Validation.WingTooThick	The {0} is too thick.	{0} 过厚。		
Career.Validation.XmlEditsDetected	One or more XML edits have been detected.	检测到一处或多处 XML 改动。		
Career.ContractLocations.vulco-zenith.Name	Initial Zenith	初始天顶		
Career.ContractLocations.vulco-zenith.Description	The hottest place in the System. Vulco's tidal locking to Juno makes this face as hot as you can get without touching its parent star. The floor is lava is not a joke anymore.	整个行星系中最热的地方。Vulco 被 Juno 潮汐锁定，使这一面在不接触母恒星的情况下达到最高温度。「地面是岩浆」不再是一句玩笑。		
Career.ContractLocations.vulco-river.Name	Rivers of Eden	伊甸之河		
Career.ContractLocations.vulco-river.Description	The large stresses in Vulco result in lava flows running front to back, resulting in some of the most impressive terrain features in the entire System.	Vulco 内部的巨大应力使岩浆由正面流向背面，造就了整个行星系中最壮观的一些地形。		
Career.ContractLocations.vulco-dark.Name	Tiresias Rift	提瑞西阿斯裂谷		
Career.ContractLocations.vulco-dark.Description	Being tidally locked to a star makes one face crazy hot and the other crazy cold. This rift hasn't seen Juno's light in eons.	被恒星潮汐锁定使一面酷热、另一面极寒。这条裂谷已无数年未见 Juno 的光。		
Career.ContractLocations.vulco-ravine.Name	Hell's Gate	地狱之门		
Career.ContractLocations.vulco-ravine.Description	You won't find Cerberus in this ravine, but Hell's Gate can show you what looking at the heart of a planet through its crust looks like.	你在这条峡谷里找不到刻耳柏洛斯，但地狱之门能让你看到透过地壳直视行星核心的景象。		
Career.ContractLocations.sergeaa-volcano.Name	Hathor Mons	哈索尔山		
Career.ContractLocations.sergeaa-volcano.Description	The largest active volcano in the system, very steep and hard to climb, but even harder to escape once you descend into its crater.	行星系中最大的活火山，极为陡峭难以攀爬；而一旦下到火山口，想要离开更是难上加难。		
Career.ContractLocations.sergeaa-mountain.Name	Horus Mons	荷鲁斯山		
Career.ContractLocations.sergeaa-mountain.Description	The mountains near Hathor Mons formed from one of the volcano's eruptions. They offer easier-to-climb terrain and a great viewing spot to plan your descent into the crater.	哈索尔山附近的山脉由该火山的一次喷发形成。此处地形较易攀爬，也是规划下探火山口的绝佳观景点。		
Career.ContractLocations.sergeaa-spikes.Name	The Jade Crown	翡翠之冠		
Career.ContractLocations.sergeaa-spikes.Description	Sergeaa has a large portion of its surface covered in large obsidian spikes, three of which form a large crown surrounded by some of the most surreal panoramas.	Sergeaa 表面很大一部分覆盖着巨大的黑曜石尖刺，其中三根构成一顶巨大的王冠，四周环绕着最超现实的景色。		
Career.ContractLocations.sergeaa-dormant.Name	Nidra Devi Mons	尼德拉女神山		
Career.ContractLocations.sergeaa-dormant.Description	This volcano has been dormant for millennia, but its crater is almost intact. It may have no lava inside, but descending to its bottom and coming back intact can still be a challenge.	这座火山已休眠数千年，但火山口几乎完好。里面或许没有岩浆，但下到谷底再完好返回仍是一大挑战。		
Career.ContractLocations.sergeaa-lakes.Name	Morrigan Island	摩莉甘岛		
Career.ContractLocations.sergeaa-lakes.Description	A crescent-moon-shaped island at the edge of one of Sergeaa's largest lava lakes, hell's version of Hawaii, surrounded by magma and obsidian spikes.	一座新月形岛屿，位于 Sergeaa 最大岩浆湖之一的边缘，堪称地狱版的夏威夷，四周环绕着岩浆与黑曜石尖刺。		
Career.ContractLocations.oord-beach.Name	Praia de Rodas	罗达斯海滩		
Career.ContractLocations.oord-beach.Description	A strip of sand surrounded by lakes and mountains inside a chain of craters.	一片沙地，位于一连串环形山之中，四周是湖泊与群山。		
Career.ContractLocations.oord-peak.Name	Jingwe's Claw	精卫之爪		
Career.ContractLocations.oord-peak.Description	A series of red steep peaks ripping through the ground like claws.	一系列红色陡峰如利爪般破地而出。		
Career.ContractLocations.oord-wrinkles.Name	Nvwa Mountains	女娲山脉		
Career.ContractLocations.oord-wrinkles.Description	Ripples in the surface, mountain sized waves of dust and rock.	地表的涟漪，如山般巨大的尘埃与岩石波浪。		
Career.ContractLocations.oord-hole.Name	Mel's Hole	梅尔之洞		
Career.ContractLocations.oord-hole.Description	Some say it is a bottomless pit, but it is just a really deep hole.	有人说是无底洞，其实只是一个极深的坑。		
Career.ContractLocations.droo-droneship.Name	Drone Ship	无人船		
Career.ContractLocations.droo-droneship.Description	A conveniently placed barge to try to land your rocket boosters when launching from the DSC.	一艘位置便利的驳船，方便你在从 DSC 发射时尝试回收火箭助推器着陆。		
Career.ContractLocations.droo-spole.Name	South Pole	南极点		
Career.ContractLocations.droo-spole.Description	Every explorer's dream, the South Pole. You won't find Santa Claus here, but its very flat terrain can be great for landspeed records.	每位探险家的梦想——南极点。这里没有圣诞老人，但极其平坦的地形非常适合创造陆上速度纪录。		
Career.ContractLocations.droo-gs-rainforest.Name	Hippolyta Ground Station	希波吕忒地面站		
Career.ContractLocations.droo-gs-rainforest.Description	Where the rainforest meets the desert, only stopped by one of the most spectacular mountain systems on Droo.	雨林与沙漠交汇之处，被 Droo 上最壮观的山脉之一所阻隔。		
Career.ContractLocations.droo-gs-grassland.Name	Bliss Ground Station	极乐地面站		
Career.ContractLocations.droo-gs-grassland.Description	Fresh grass, swirly mountains and a bright Juno, the perfect spot for any hiker wanting to get lost.	清新的草地、盘旋的山峦与明亮的 Juno，是想迷路的徒步者的完美去处。		
Career.ContractLocations.droo-gs-archipelago.Name	Brigo Ground Station	Brigo 地面站		
Career.ContractLocations.droo-gs-archipelago.Description	The smell of the ocean, the water's roar, a cold breeze hitting your face in the smallest island of the largest archipelago on Droo.	海洋的气息、水浪的轰鸣、冷风拂面——这一切都在 Droo 最大群岛中最小的岛屿上。		
Career.ContractLocations.droo-gs-polar.Name	Amundsen Ground Station	阿蒙森地面站		
Career.ContractLocations.droo-gs-polar.Description	Your last chance to touch solid terrain before reaching the icebergs on your way to the South Pole — even if it's entirely covered in snow.	在前往南极点途中遇到冰山之前，这是你最后一次踏上坚实地面的机会——尽管这里完全被积雪覆盖。		
Career.ContractLocations.brigo-crater.Name	Mimas Crater	弥玛斯环形山		
Career.ContractLocations.brigo-crater.Description	Believed to result from whatever caused T.T. to orbit Droo. It resembles the Death Star, but this crater doesn't shoot lasers. Or does it?	据信是导致 T.T. 环绕 Droo 的那次事件的产物。它形似死星，但这座环形山不会发射激光。也许吧？		
Career.ContractLocations.brigo-ejecta.Name	Mimas Ring	弥玛斯环		
Career.ContractLocations.brigo-ejecta.Description	When the Mimas Crater was formed, a lot of ejecta fell back to Brigo, forming a series of rings around it that resulted on large cliffs.	弥玛斯环形山形成时，大量喷出物落回 Brigo，在其周围形成一系列环状结构，造就了巨大的悬崖。		
Career.ContractLocations.brigo-mountains.Name	Cocoa Mountains	可可山脉		
Career.ContractLocations.brigo-mountains.Description	A system of mountains covered in ice and mud, definitely not chocolate icecream.	一片覆盖着冰与泥的山脉，绝对不是巧克力冰淇淋。		
Career.ContractLocations.luna-cliff.Name	Finis Lunae	月之尽头		
Career.ContractLocations.luna-cliff.Description	A cliff looking at mares that reaches as far as the eye can see, with nothing but volcanic rock and craters ahead.	一座面向月海的悬崖，视野所及只有火山岩与环形山。		
Career.ContractLocations.luna-rock.Name	Jund Roocks	Jund 岩		
Career.ContractLocations.luna-rock.Description	Luna can go from very rough terrain to flatlands really fast, resulting in impressive cliffs. Sometimes these cliffs can break apart, resulting in Simple Rocks Too.	Luna 的地形可以从极其崎岖骤然变为平坦，由此形成壮观的悬崖。有时这些悬崖会崩解，于是又有了「Simple Rocks Too」。		
Career.ContractLocations.luna-crater.Name	Ingens Hiatus	巨大深渊		
Career.ContractLocations.luna-crater.Description	Sometimes a crater's scale isn't apparent from afar. Only inside do you realize how small you are. These are the real 'deep' space industries.	有时从远处看不出环形山的规模，只有身处其中才意识到自己多么渺小。这才是真正的「深」空产业。		
Career.ContractLocations.luna-mountain.Name	Galilei Mountain	伽利略山		
Career.ContractLocations.luna-mountain.Description	A mountain generated after a great impact that left one of the largest craters in this moon's surface.	由一次巨大撞击形成的山峰，那次撞击在这颗卫星表面留下了最大的环形山之一。		
Career.ContractLocations.tt-tholins.Name	Tonatiuh Tholins	托纳蒂乌托林		
Career.ContractLocations.tt-tholins.Description	This strange outer space boulder is covered in oxides, making its very rough surface have a tint that resembles that of blood.	这块奇特的外太空巨石被氧化物覆盖，使其极为粗糙的表面呈现出类似血液的色调。		
Career.ContractLocations.tt-core.Name	Ragna Rock	诸神黄昏岩		
Career.ContractLocations.tt-core.Description	T.T. shows clear signs of having been through an intense event, because its surface is partially melted, and parts of its metallic core are entirely exposed.	T.T. 明显经历过剧烈事件：其表面部分熔融，金属核心的部分区域完全裸露。		
Career.ContractLocations.cylero-valles.Name	Valles Lusiades	卢西亚达斯峡谷		
Career.ContractLocations.cylero-valles.Description	A mountain right on the edge of the largest ravine in Cylero, one of the most unique viewpoints to visit while exploring this rare Landmark.	一座位于 Cylero 最大峡谷边缘的山峰，是探索这一罕见地标时最独特的观景点之一。		
Career.ContractLocations.cylero-volcano.Name	Veegxangus Mons	维格桑格斯山		
Career.ContractLocations.cylero-volcano.Description	The largest mountain in the Juno System was once a fiery volcano, now completely dormant. Inside its crater, you can only imagine the insane power this behemoth once had.	Juno 行星系中最大的山峰曾是一座炽热的火山，如今完全休眠。站在火山口内，只能想象这头巨兽昔日拥有的狂暴力量。		
Career.ContractLocations.cylero-poles.Name	Enuma Elish Mountain	埃努玛·埃利什山		
Career.ContractLocations.cylero-poles.Description	A small peak on the edge of one of the arms of the Northern Polar Swirl, looking straight into one of the valleys formed by it.	北极漩涡一条臂边缘的小山峰，正对由其形成的一道山谷。		
Career.ContractLocations.cylero-crater.Name	Polycoria	多瞳		
Career.ContractLocations.cylero-crater.Description	Although rare, impacts can sometimes happen in the exact same place. Here, a small asteroid cleared the central uplifts of a large crater's central plane.	撞击有时会恰好发生在同一地点，尽管这种情况十分罕见。在这里，一颗小行星抹平了一座大环形山中央台地的中央隆起。		
Career.ContractLocations.nebra-origin.Name	Nebra's Origin	Nebra 之源		
Career.ContractLocations.nebra-origin.Description	The volcano marking Nebra's origin, where the main meridian meets its equator. Small but powerful — you may never leave its crater if you aren't careful.	标记 Nebra 起源的火山，位于主子午线与赤道交汇处。虽小却威力十足——稍有不慎，你可能永远无法离开它的火山口。		
Career.ContractLocations.nebra-ring.Name	Ring of Fire	火环		
Career.ContractLocations.nebra-ring.Description	Nebra's very high volcanic activity formed a ring of volcanic islands, one of the best spots for a land base on this moon.	Nebra 极高的火山活动形成了一圈火山岛，是这颗卫星上建立地面基地的最佳地点之一。		
Career.ContractLocations.nebra-volcano.Name	D. Allen Volcano	D. Allen 火山		
